IdSensore,Data,Valore,Stato,idOperatore
14606,04/01/2023 08:30:00,6.6,VA,1
14606,04/01/2023 08:40:00,6.8,VA,1
14606,04/01/2023 08:50:00,7.2,VA,1
14606,04/01/2023 09:00:00,7.7,VA,1
14606,04/01/2023 09:10:00,8.2,VA,1
14606,04/01/2023 09:20:00,8.7,VA,1
14606,04/01/2023 09:30:00,9.1,VA,1
14606,04/01/2023 09:40:00,9.6,VA,1
14606,04/01/2023 09:50:00,9.9,VA,1
14606,04/01/2023 10:00:00,10.0,VA,1
14606,04/01/2023 10:10:00,10.1,VA,1
14606,04/01/2023 10:20:00,10.3,VA,1
14606,04/01/2023 10:30:00,10.6,VA,1
14606,04/01/2023 10:40:00,10.9,VA,1
14606,04/01/2023 10:50:00,11.3,VA,1
14606,04/01/2023 11:00:00,12.0,VA,1
14606,04/01/2023 11:10:00,12.2,VA,1
14606,04/01/2023 11:20:00,12.2,VA,1
14606,04/01/2023 11:30:00,12.0,VA,1
14606,04/01/2023 11:40:00,12.0,VA,1
14606,04/01/2023 11:50:00,12.3,VA,1
14606,04/01/2023 12:00:00,12.5,VA,1
14606,04/01/2023 12:10:00,13.1,VA,1
14606,04/01/2023 12:20:00,13.2,VA,1
14606,04/01/2023 12:30:00,12.9,VA,1
14606,04/01/2023 12:40:00,13.0,VA,1
14606,04/01/2023 12:50:00,13.2,VA,1
14606,04/01/2023 13:00:00,13.4,VA,1
14606,04/01/2023 13:10:00,12.8,VA,1
14606,04/01/2023 13:20:00,12.7,VA,1
14606,04/01/2023 13:30:00,12.9,VA,1
14606,04/01/2023 13:40:00,12.5,VA,1
14606,04/01/2023 13:50:00,12.5,VA,1
14606,04/01/2023 14:00:00,12.3,VA,1
14606,04/01/2023 14:10:00,11.8,VA,1
14606,04/01/2023 14:20:00,11.5,VA,1
14606,04/01/2023 14:30:00,11.4,VA,1
14606,04/01/2023 14:40:00,11.3,VA,1
14606,04/01/2023 14:50:00,11.1,VA,1
14606,04/01/2023 15:00:00,11.0,VA,1
14606,04/01/2023 15:10:00,10.8,VA,1
14606,04/01/2023 15:20:00,10.7,VA,1
14606,04/01/2023 15:30:00,10.5,VA,1
14606,04/01/2023 15:40:00,10.1,VA,1
14606,04/01/2023 15:50:00,9.8,VA,1
14606,04/01/2023 16:00:00,9.6,VA,1
14606,04/01/2023 16:10:00,9.5,VA,1
14606,04/01/2023 16:20:00,9.3,VA,1
14606,04/01/2023 16:30:00,9.0,VA,1
